Livestock,Area,Year,Value,Flags
"Total beef cattle","Total New Zealand","As at June 30 1994",5047848,
"Total beef cattle","Total New Zealand","As at June 30 2002",4491281,
"Total beef cattle","Total New Zealand","As at June 30 2003",4626617,
"Total beef cattle","Total New Zealand","As at June 30 2004",4447400,
"Total beef cattle","Total New Zealand","As at June 30 2005",4423626,
"Total beef cattle","Total New Zealand","As at June 30 2006",4439136,
"Total beef cattle","Total New Zealand","As at June 30 2007",4393617,
"Total beef cattle","Total New Zealand","As at June 30 2008",4136872,
"Total beef cattle","Total New Zealand","As at June 30 2009",4100718,
"Total beef cattle","Total New Zealand","As at June 30 2010",3948520,
"Total beef cattle","Total New Zealand","As at June 30 2011",3846414,
"Total beef cattle","Total New Zealand","As at June 30 2012",3734412,
"Total beef cattle","Total New Zealand","As at June 30 2013",3698522,
"Total beef cattle","Total New Zealand","As at June 30 2014",3669862,
"Total beef cattle","Total New Zealand","As at June 30 2015",3547228,
"Total beef cattle","Total New Zealand","As at June 30 2016",3533054,
"Total beef cattle","Total New Zealand","As at June 30 2017",3616091,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 1994",1262522,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2002",1083485,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2003",1079334,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2004",1013893,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2005",1018730,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2006",1004513,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2007",1015139,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2008",978079,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2009",918451,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2010",901258,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2011",901375,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2012",827749,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2013",811884,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2014",781131,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2015",880438,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2016",839878,
"Calves born alive to beef heifers/cows","Total New Zealand","As at June 30 2017",827681,
"Total dairy cattle","Total New Zealand","As at June 30 1994",3839184,
"Total dairy cattle","Total New Zealand","As at June 30 2002",5161589,
"Total dairy cattle","Total New Zealand","As at June 30 2003",5101603,
"Total dairy cattle","Total New Zealand","As at June 30 2004",5152492,
"Total dairy cattle","Total New Zealand","As at June 30 2005",5087176,
"Total dairy cattle","Total New Zealand","As at June 30 2006",5169557,
"Total dairy cattle","Total New Zealand","As at June 30 2007",5260850,
"Total dairy cattle","Total New Zealand","As at June 30 2008",5578440,
"Total dairy cattle","Total New Zealand","As at June 30 2009",5860776,
"Total dairy cattle","Total New Zealand","As at June 30 2010",5915452,
"Total dairy cattle","Total New Zealand","As at June 30 2011",6174503,
"Total dairy cattle","Total New Zealand","As at June 30 2012",6445681,
"Total dairy cattle","Total New Zealand","As at June 30 2013",6483600,
"Total dairy cattle","Total New Zealand","As at June 30 2014",6698326,
"Total dairy cattle","Total New Zealand","As at June 30 2015",6485535,
"Total dairy cattle","Total New Zealand","As at June 30 2016",6618800,
"Total dairy cattle","Total New Zealand","As at June 30 2017",6529811,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 1994",2455975,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2002",3225238,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2003",3115897,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2004",3157510,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2005",3320005,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2006",3313093,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2007",3392602,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2008",3500226,
"Calves born alive to dairy heifers/cows","Total New Zealand","As at June 30 2009",3626799,
